College Name,# appli. rec'd,# appl. accepted,# new stud. enrolled,% new stud. from top 10%,% new stud. from top 25%,# FT undergrad,# PT undergrad,in-state tuition,out-of-state tuition,room,board,add. fees,estim. book costs,estim. personal $,% fac. w/PHD,stud./fac. ratio,Graduation rate
University of Bridgeport,598,441,153,16,36,527,312,12500,12500,3700,3110,624,500,500,76,7.9,51
University of Hartford,5081,4040,1194,11,26,3768,1415,14220,14220,2300,3700,690,500,1440,61,10.7,66
Wesleyan University,4772,1973,712,60,86,2714,27,19130,19130,3290,2310,660,1400,1400,90,12.1,92
Eastern Connecticut State University,2172,1493,564,14,50,2766,1531,1842,5962,2436,1880,1513,650,500,71,16.9,50
University of Connecticut at Storrs,9735,7187,2064,23,63,12478,1660,3824,11656,2552,2520,888,700,2300,89,16,71
Catholic University of America,1754,1465,505,24,49,2159,211,13712,13712,3622,2786,460,526,1100,90,9.3,75
George Washington University,7875,5062,1492,38,71,5471,1470,17450,17450,3998,2330,720,700,950,92,7.6,72
Georgetown University,11115,2881,1390,71,93,5881,406,18300,18300,2590,4541,156,670,1700,91,7.2,95
Trinity College DC,247,189,100,19,49,309,639,11412,11412,2900,3530,150,500,900,89,8.3,96
University of Delaware,14446,10516,3252,22,57,14130,4522,3690,10220,2280,1950,410,530,1300,82,18.3,75
Wesley College,980,807,350,10,25,872,448,9890,9890,2450,2224,405,500,1350,52,14.4,84
Bethune Cookman College,1646,1150,542,12,30,2128,82,5188,5188,1541,1855,427,650,2500,48,13.8,58
Florida Institute of Technology,1947,1580,523,39,74,1863,233,13900,13900,1740,2400,400,750,1500,90,10.6,57
Embry Riddle Aeronautical University,3151,2584,958,14,40,4772,856,7800,7800,2050,1700,80,570,3020,37,16.5,44
Florida Southern College,1381,1040,374,20,44,1506,970,8025,8025,2100,2765,605,400,650,65,17.4,68
Rollins College,1777,1151,382,31,55,1668,1052,16425,16425,2830,2390,470,955,750,81,13.3,90
Stetson University,1557,1227,489,37,69,1964,81,12315,12315,2165,2400,555,600,1365,85,12.5,73
University of Miami,7122,5386,1643,42,69,7760,876,16500,16500,3810,2716,180,630,1985,82,5.9,59
University of Central Florida,6986,2959,1918,25,60,12330,7152,1716,6618,2410,1824,95,700,1600,80,22.2,46
Brewton-Parker College,1436,1228,1202,10,26,1320,822,4371,4371,1320,1050,130,500,2000,62,12.6,18
Emory University,8506,4168,1236,76,97,5544,192,17600,17600,3600,2400,230,600,870,97,5,96
Morehouse College,3708,1678,722,41,66,2852,153,7050,7050,3140,2350,1420,250,600,71,17.8,83
Spelman College,3713,1237,443,47,83,1971,107,7000,7000,2565,3000,1222,660,2400,73,12.5,65
University of Georgia,11220,7871,3320,43,79,19553,2748,1899,5697,1770,1830,453,525,1755,88,14.7,63
Covenant College,407,317,181,21,48,468,31,9700,9700,1980,1764,150,470,1120,73,19,56
Savannah Coll. of Art and Design,1109,688,386,20,65,1897,208,8325,8325,3050,1950,450,1200,1600,14,16.1,55
University of Hawaii at Manoa,3580,2603,1627,36,69,11028,2411,1460,4460,1808,1230,97,687,1281,85,11.8,54
Central College,1283,1113,401,31,65,1355,40,10938,10938,1638,2022,141,650,600,76,13.5,67
Clarke College,460,340,167,14,45,604,350,10740,10740,1838,1838,225,350,900,67,11,74
Coe College,1006,742,275,29,60,1127,205,13925,13925,2400,1990,125,500,2200,73,12.7,67
Cornell College,1538,1329,383,33,68,1140,10,15248,15248,1978,2345,125,550,800,71,12.2,64
Dordt College,604,562,328,25,50,1048,56,9800,9800,1200,1450,60,450,2800,61,12.5,87
Graceland College,555,414,242,14,41,996,2281,9100,9100,1130,1970,100,550,880,51,23.6,47
Grand View College,535,511,233,11,36,1098,380,9820,9820,2000,1360,50,570,2800,32,12.6,32
Grinnell College,2039,1389,432,56,91,1333,30,15688,15688,2120,2498,374,400,400,88,9.5,83
Morningside College,586,533,239,16,36,950,228,10520,10520,1812,1866,181,500,1000,48,13,56
Mount Mercy College,368,317,159,20,49,806,542,10500,10500,2115,1440,100,500,2285,44,11.3,64
Mount Saint Clare College,325,284,95,16,33,364,88,9900,9900,1660,1990,80,500,1200,32,13.6,21
Simpson College,1016,872,300,27,57,1116,602,11250,11250,2130,2850,155,550,1400,66,15.8,70
Saint Ambrose University,897,718,276,12,48,1345,390,10450,10450,2310,1710,10,500,1500,56,14.1,70
University of Northern Iowa,4144,3379,1853,18,52,10135,1448,2291,6197,1318,1612,164,595,2380,78,16.3,77
University of Dubuque,576,558,137,11,39,662,131,10430,10430,1845,1775,100,400,1500,85,16.5,45
Wartburg College,1231,1074,345,34,66,1295,105,11600,11600,1940,1670,120,400,850,66,12.4,67
Teikyo Westmar University,451,306,123,10,18,611,146,9980,9980,2010,1630,280,600,2240,46,12,51
William Penn College,326,294,140,10,33,630,107,10000,10000,1800,1310,290,495,800,35,13.3,40
Albertson College,587,479,158,38,62,678,41,13500,13500,1025,2210,322,500,675,67,9.4,55
Northwest Nazarene College,616,514,385,29,52,1115,60,9840,9840,1680,1140,339,450,822,59,14.8,58
Augustana College IL,1879,1658,497,36,69,1950,38,13353,13353,1622,1622,93,540,821,78,12.7,71
Eureka College,560,454,113,36,56,484,16,10955,10955,1915,1535,150,330,670,62,10.6,53
Illinois Wesleyan University,3050,1342,471,55,86,1818,23,14360,14360,1760,2330,125,400,650,77,12.9,83
Knox College,1040,845,286,48,77,967,24,15747,15747,1806,2256,186,400,800,88,12.7,79
Lake Forest College,979,638,271,31,70,968,20,16880,16880,1740,2230,230,920,1320,91,10.7,77
McKendree College,1002,555,119,16,43,836,684,7680,7680,1820,1920,135,500,800,70,17.7,52
Monmouth College IL,601,503,204,28,57,671,11,13000,13000,2100,2000,200,400,460,91,11.6,56
Quincy University,1025,707,297,22,66,1070,72,10100,10100,1750,2390,210,450,1080,69,16.3,80
Southern Illinois University at Edwardsville,2540,2195,994,13,40,6063,2550,1824,5472,1570,2028,488,221,2216,76,16.5,43
Saint Xavier University,785,647,295,15,65,1670,726,10860,10860,2666,1958,110,600,794,87,13.7,55
Trinity College IL,746,473,317,39,82,834,50,9600,9600,2030,2080,75,600,1300,54,21.9,28
University of Chicago,6348,2999,922,68,94,3340,39,18930,18930,3070,3310,486,500,1254,99,5.3,90
University of Illinois - Urbana,14939,11652,5705,52,88,25422,911,2760,7560,1780,2794,920,500,1982,87,17.4,81
University of Illinois at Chicago,8384,5727,2710,22,50,13518,2916,2520,7230,3198,1890,1108,630,3228,82,10,34
Western Illinois University,6491,5027,1563,6,24,9015,1449,1902,5706,1843,1350,705,600,1993,77,17.2,55
Anderson University,1216,908,423,19,40,1819,281,10100,10100,1620,1900,200,550,1100,48,12.1,59
Butler University,2362,2037,700,40,68,2607,148,13130,13130,2480,2170,65,500,1600,77,10.9,83
DePauw University,1994,1656,495,50,80,1983,36,14300,14300,2510,2510,200,550,950,78,11.1,82
Earlham College,1358,1006,274,35,63,1028,13,15036,15036,1899,2157,273,600,600,90,10.6,78
University of Evansville,2096,1626,694,35,67,2551,407,11800,11800,2520,1820,200,700,960,60,15.8,77
Franklin College,804,632,281,29,72,840,68,10390,10390,1790,2250,110,525,1345,54,12.5,60
Hanover College,1006,837,317,33,65,1024,15,8200,8200,1540,1945,350,500,1200,84,10.6,64
University of Southern Indiana,2379,2133,1292,8,25,4283,2973,2040,4973,1660,1532,20,500,1425,56,22,38
Manchester College,1004,802,239,23,63,909,51,10440,10440,1960,1890,350,525,1450,63,11.8,64
Oakland City College,495,465,275,18,35,695,193,7620,7260,998,1986,186,740,900,41,11.5,62
Saint Mary-of-the-Woods College,150,130,88,23,50,341,768,10300,10300,1590,2540,400,500,1700,44,10.2,75
Saint Mary's College,888,734,393,26,60,1433,27,12730,12730,2652,1862,901,500,1525,74,9.9,98
Taylor University,1769,1092,437,41,80,1757,81,10965,10965,1900,2100,210,450,1250,60,14.2,98
Valparaiso University,2075,1727,520,49,81,2501,198,11800,11800,1300,1960,450,500,800,87,14.2,95
Wabash College,800,623,256,41,76,801,5,12925,12925,1480,2715,250,500,635,78,9.9,72
Baker University,602,483,206,21,47,958,466,8620,8620,1900,2200,310,400,2250,58,11,65
Bethany College,878,816,200,16,41,706,62,8740,8740,1463,1900,105,550,1700,62,11.6,48
Bethel College,202,184,122,19,42,537,101,8540,8540,1960,1620,200,500,1400,61,8.8,56
Kansas Wesleyan University,589,575,148,16,40,474,258,8400,8400,1850,1400,120,500,1400,63,12.4,68
McPherson College,420,293,93,11,32,336,80,7950,7950,1550,2200,260,600,2740,54,9.8,48
Tabor College,257,183,109,19,41,396,38,7850,7850,2010,1400,200,400,1500,55,10,53
Benedictine College,632,620,222,14,24,702,501,9550,9550,2250,1600,210,350,250,64,14.1,58
Bellarmine College,807,707,308,39,63,1198,605,8840,8840,1950,1000,100,750,1290,74,13.1,84
Centre College,1013,888,288,55,82,943,7,11850,11850,2120,2150,350,600,900,95,11.4,74
Georgetown College,727,693,286,30,55,1063,48,8000,8100,1975,1975,50,550,550,73,13.3,55
Kentucky Wesleyan College,584,497,175,20,49,662,121,8000,8000,2300,1850,200,500,1300,57,11.3,62
Murray State University,2225,1910,1190,29,55,5968,955,1580,4738,1290,1820,280,700,940,72,20.2,52
Transylvania University,759,729,244,57,81,867,51,10900,10900,2480,1970,450,500,1000,81,12.1,70
Centenary College of Louisiana,495,434,210,35,55,775,44,8950,8950,1470,2020,306,600,1900,86,11.3,66
Grambling State University,4847,3518,1900,27,65,6567,261,1044,1044,775,531,12,500,1200,46,24.6,58
Louisiana State University at Baton Rouge,5996,4993,3079,29,57,16269,3757,2625,5925,1720,1260,75,600,2242,83,15.9,37
Loyola University,1891,1698,719,24,80,2740,761,11100,11100,2980,2890,190,600,750,77,11.7,53
Tulane University,7033,5125,1223,47,75,4941,1534,19040,19040,2690,3260,510,350,800,98,9.1,74
Amherst College,4302,992,418,83,96,1593,5,19760,19760,2650,2650,272,660,1598,93,8.4,100
Merrimack College,1981,1541,514,18,36,1927,1084,12500,12500,2750,3450,175,375,1000,73,16.8,80
Bentley College,3466,2330,640,20,60,3095,1533,13800,13800,2730,2780,65,630,850,87,17.5,82
Boston University,20192,13007,3810,45,80,14971,3113,18420,18420,3920,2890,270,475,1025,80,11.9,72
Bradford College,443,330,151,5,36,453,42,14080,14080,3500,2750,260,500,900,57,10.2,46
Brandeis University,4186,2743,740,48,77,2819,62,19380,19380,3500,3250,450,410,1000,90,9.8,84
Clark University,2887,2059,457,30,61,1928,296,17500,17500,2000,2200,440,500,950,94,10.5,79
Gordon College,674,565,282,25,54,1151,39,12200,12200,1470,2600,520,400,1200,73,14.2,66
Harvard University,13865,2165,1606,90,100,6862,320,18485,18485,3370,3040,1335,500,1920,97,9.9,100
Lesley College,244,198,82,12,33,1134,336,11700,11700,2100,3200,120,550,805,71,27.8,58
Massachusetts Institute of Technology,6411,2140,1078,96,99,4481,28,20100,20100,3200,2775,600,725,1600,99,10.1,94
Bridgewater State College,4915,3340,1064,4,21,5356,1502,1408,5542,2291,1700,2014,500,1750,73,17.1,51
North Adams State College,1563,1005,240,1,19,1380,136,1408,5542,2400,1930,2147,500,1000,65,14.2,57
Westfield State College,3100,2150,825,3,20,3234,941,1408,5542,2600,1188,1746,500,1300,75,15.7,65
Worcester State College,2197,1515,543,4,26,3089,2029,2663,6797,2660,1240,1255,500,1200,60,21,40
Mount Holyoke College,1800,1314,526,47,79,1891,40,19300,19300,2800,2900,735,750,750,79,9,84
Northeastern University,11901,8492,2517,16,42,11160,10221,13380,13380,3990,3435,186,600,1750,73,12.9,46
University of Massachusetts at Amherst,14438,12414,3816,12,39,16282,1940,2220,8566,1712,2185,3247,500,1400,88,16.7,68
Wellesley College,2895,1249,579,80,96,2195,156,18345,18345,3055,2940,360,500,700,94,10.6,91
Wheaton College,1738,1373,417,21,55,1335,30,18460,18460,2900,3070,120,700,850,92,13.2,71
Williams College,4186,1245,526,81,96,1988,29,19629,19629,2855,2935,141,500,1200,94,9,99
Worcester Polytechnic Institute,2768,2314,682,49,86,2802,86,15884,15884,2790,2580,346,530,730,92,15.2,82
Goucher College,1151,813,248,40,64,850,80,15588,15588,4114,2060,100,500,1200,78,9.2,77
Salisbury State University,4216,2290,736,20,52,4296,1027,2328,5130,2190,2500,766,600,1450,73,17.9,56
University of Maryland at College Park,14292,10315,3409,22,53,19340,3991,2919,8723,2899,2247,561,550,1550,89,18.1,63
University of Maine at Presque Isle,461,381,235,10,40,974,503,2700,6600,1904,1726,200,400,1675,67,15.2,35
Bowdoin College,3356,1019,418,76,100,1490,8,19030,19030,2620,3265,325,1495,875,93,11.2,96
Colby College,2848,1319,456,58,84,1720,35,18930,18930,2890,2700,900,500,1000,83,10.2,91
University of Maine at Farmington,1208,803,438,20,48,1906,344,2790,6810,2124,1846,240,450,1647,67,15.9,59
Thomas College,356,312,139,18,65,388,412,8850,8850,2300,2150,200,600,1000,29,21.8,75
University of Maine at Machias,441,369,172,17,45,633,317,2700,6600,1830,1850,175,600,400,46,15.1,64
Adrian College,1428,1097,336,22,50,1036,99,11250,11250,1590,2160,100,400,1165,53,12.9,54
Albion College,1899,1720,489,37,68,1594,32,13868,13868,2426,2400,1042,450,850,89,13.7,73
Alma College,1267,1080,385,44,73,1306,28,12572,12572,2226,2326,297,400,400,79,15.3,68
Andrews University,1130,704,322,14,23,1586,326,9996,9996,1815,1275,135,900,1320,62,11.5,46
Hillsdale College,920,745,347,35,66,1133,42,11090,11090,2600,2100,210,400,750,80,12,79
Hope College,1712,1483,624,37,69,2505,208,12275,12275,1980,2361,84,465,1100,72,12.5,72
Madonna University,440,391,231,13,27,1367,2662,5040,5040,2074,2078,40,395,1155,54,14.7,57
Michigan State University,18114,15096,6180,23,57,26640,4120,4103,10658,1646,2088,524,504,600,93,14,71
Michigan Technological University,2618,2288,1032,42,77,5524,414,3510,8127,1836,2142,126,900,1200,82,17,65
Spring Arbor College,372,362,181,15,32,1501,353,8600,8600,1980,1570,106,385,665,48,15.4,49
University of Detroit Mercy,927,731,415,24,50,2149,2217,11130,11130,1926,2070,100,600,2166,72,13.5,51
Western Michigan University,9167,7191,2738,24,53,15739,4278,2785,6940,1675,2425,455,500,1700,80,24.7,55
Center for Creative Studies,601,396,203,1,20,525,323,11230,11230,3843,2800,130,2340,620,8,6.8,47
Carleton College,2694,1579,489,75,93,1870,12,19292,19292,1623,2334,126,550,550,81,10.4,91
College of Saint Benedict,938,864,511,29,62,1715,103,12247,12247,1971,2250,88,500,600,70,13.1,72
College of Saint Catherine,511,411,186,23,51,1692,562,12224,12224,2290,2150,220,450,1000,63,11.5,77
University of St. Thomas MN,2057,1807,828,26,53,4106,982,11712,11712,1716,2321,36,500,800,80,13.8,89
Hamline University,1006,825,328,34,73,1362,102,13252,13252,2026,2168,156,450,550,89,13,65
Macalester College,2939,1496,452,56,86,1723,113,15909,15909,2480,2292,101,500,700,85,11.9,77
Saint Cloud State University,3971,3306,1921,10,34,11493,2206,2270,4259,1704,921,255,350,1884,70,18.9,58
Saint John's University,933,800,444,18,45,1691,72,12247,12247,2160,1921,88,500,600,76,12,70
Saint Mary's College of Minnesota,876,802,367,14,35,1263,118,10800,10800,1700,1900,100,400,820,68,18.8,78
University of Minnesota at Morris,1458,874,588,56,86,1846,154,3330,9843,1365,1755,315,600,1500,74,14.6,51
University of Minnesota Twin Cities,11054,6397,3524,26,55,16502,21836,3171,8949,1498,2246,414,714,2910,88,12.2,45
Central Methodist College,633,504,210,11,32,920,148,7780,7780,1820,1550,270,600,1300,50,15.1,49
Columbia College,314,158,132,10,28,690,5346,8294,8294,1372,2328,45,400,900,87,15.3,37
Drury College,700,650,314,33,66,1065,48,8730,8730,1824,1699,272,500,750,82,13.2,67
Lindenwood College,810,484,356,6,33,2155,191,9200,9200,2400,2400,200,1000,4200,65,24.1,100
Missouri Valley College,1310,983,316,5,35,1057,175,8550,8550,2525,2525,100,400,900,35,17.4,27
Missouri Western State College,1887,1870,848,8,30,3615,1446,1998,3900,1307,1304,128,500,2000,54,19,40
Southeast Missouri State University,2281,1870,1408,18,43,6553,1246,2550,4680,2120,1420,120,200,2150,75,17.1,45
Southwest Baptist University,1093,1093,642,12,32,1770,967,7070,7070,1170,1330,152,400,1000,52,15.9,71
Southwest Missouri State University,6118,5254,3204,15,37,13131,3374,2370,4740,880,1710,166,500,1360,70,19.9,56
Saint Louis University,3294,2855,956,44,67,4576,1140,11690,11690,2300,2430,80,800,6800,84,4.6,67
Washington University,7654,5259,1254,62,93,4879,1274,18350,18350,3431,2344,184,768,1512,91,3.9,90
Webster University,665,462,226,17,44,1739,1550,9160,9160,2100,2240,50,500,500,68,20.6,48
Westminster College MO,662,553,184,20,43,665,37,10720,10720,1870,2180,200,600,1650,66,12.5,62
William Jewell College,663,547,315,32,67,1279,75,10060,10060,1780,1190,256,500,2600,74,11.2,59
William Woods University,469,435,227,17,39,851,120,10535,10535,2250,2115,140,550,3700,39,12.9,52
Millsaps College,905,834,319,32,61,1073,179,11320,11320,2454,2048,584,550,1350,82,12.7,58
Mississippi College,594,385,307,36,57,1695,721,5580,5580,1260,1210,308,600,700,77,16.5,61
Mississippi State University,4255,3277,1609,18,57,10094,1621,4946,9866,1684,1400,477,480,1479,77,15.9,53
Mississippi Valley State University,2800,1090,580,10,40,2124,199,2164,4306,1025,1075,213,275,1200,43,18.6,56
University of Mississippi,3844,3383,1669,26,47,7524,804,1996,4916,1560,2250,548,600,550,81,20.3,53
Montana State University-Billings,931,912,596,7,23,2482,868,2142,5866,1900,1400,60,600,2000,70,18.5,40
Rocky Mountain College,560,392,270,11,31,743,118,8734,8734,1966,1396,85,600,625,56,11.3,68
Appalachian State University,7313,4664,1910,20,63,9940,1035,740,6806,1420,1120,718,96,2000,83,18.3,70
University of North Carolina at Asheville,1757,979,394,32,74,2033,1078,608,5972,1670,1750,800,600,750,77,13,37
Bennett College,774,542,193,17,38,650,14,5600,5600,1630,1465,1030,750,2000,63,12.1,44
Davidson College,2373,956,452,77,96,1601,6,17295,17295,2650,2420,169,600,1011,95,12,94
Duke University,13789,3893,1583,90,98,6188,53,18590,18590,2996,2954,480,625,1162,95,5,97
East Carolina University,9274,6362,2435,14,44,13171,1687,764,7248,1590,1650,793,500,1700,74,13.2,58
Elon College,3624,2786,858,11,39,2933,334,9100,9100,1782,2101,150,490,1777,70,18.9,63
Fayetteville State University,1455,1064,452,1,16,2632,617,740,6806,1150,1400,636,350,766,75,15.1,24
Gardner Webb University,1110,930,332,18,36,1603,374,8180,8180,2230,2040,950,500,500,65,15.2,29
Guilford College,1202,1054,326,18,44,1410,299,13404,13404,2456,2704,210,450,1050,78,15.6,65
Lenoir-Rhyne College,979,743,259,25,46,1188,166,10100,10100,1740,2260,510,400,1000,88,12,66
Livingstone College,900,473,217,22,47,621,11,4400,4400,2000,1400,800,800,900,53,10.4,92
Methodist College,750,633,296,27,51,926,367,8850,8850,2100,1450,158,500,2600,73,11.4,56
North Carolina Wesleyan College,812,689,195,7,24,646,84,8242,8242,1900,2330,500,600,1295,77,12.7,52
Pembroke State University,944,774,440,14,34,2174,529,628,6360,1410,1350,514,550,1498,77,15,48
Queens College,516,392,154,32,62,630,549,11020,11020,2160,2810,50,610,1900,73,14,58
Salem College,335,284,132,28,69,534,216,10475,10475,3275,3025,176,500,2000,68,11.2,60
North Carolina State University at Raleigh,10634,7064,3176,39,78,16505,5481,874,8400,1640,1900,710,600,1300,92,17.5,62
University of North Carolina at Chapel Hill,14596,5985,3331,75,92,14609,1100,874,8400,2040,2160,606,550,1200,88,8.9,83
University of North Carolina at Greensboro,5191,4134,1500,15,44,7532,1847,931,8677,1715,1790,958,600,1300,75,15.5,53
Western Carolina University,3224,2519,1057,11,31,5000,706,718,6390,1142,1238,647,110,1622,67,14.6,55
University of North Carolina at Wilmington,6071,3856,1449,15,67,6635,1145,1492,7558,2100,1580,752,500,1500,82,19.1,55
Wingate College,1239,1017,383,10,34,1207,157,7820,7820,1750,1650,300,550,1550,69,13.9,91
Dickinson State University,434,412,319,10,30,1376,237,1681,4486,846,1300,176,600,2000,50,16.5,46
University of Mary,659,601,342,12,34,1476,282,6490,6490,1345,1510,75,500,1800,26,18,48
University of North Dakota,2777,2249,1652,20,54,8334,1435,2110,5634,1033,1670,318,450,1200,97,15.9,49
Valley City State University,368,344,212,5,27,863,189,1606,4286,1820,750,245,600,2000,39,14.9,40
North Dakota State University,2968,2297,1610,13,47,7368,1128,2310,5834,1020,1724,198,600,2000,79,17,42
Creighton University,2967,2836,876,30,60,3450,644,10628,10628,2416,1956,336,650,2055,85,6.5,85
Dana College,504,482,185,10,36,550,84,9130,9130,1950,1372,465,450,1450,46,12.6,54
Doane College,793,709,244,20,47,1022,411,9570,9570,1020,1980,250,400,1000,67,15.1,60
Hastings College,817,708,262,22,52,935,37,9376,9376,1338,1934,396,500,1902,57,13,52
Peru State College,701,501,458,10,40,959,457,1432,2580,1354,1270,254,500,900,48,20.1,44
University of Nebraska at Lincoln,6277,6003,3526,33,63,16454,3171,2055,5595,1375,1770,360,500,2070,86,15.1,53
Wayne State College,1373,1373,724,6,21,2754,474,1500,2700,1230,1430,264,540,1660,60,20.3,52
Dartmouth College,8587,2273,1087,87,99,3918,32,19545,19545,3255,2815,105,550,1100,95,4.7,98
Franklin Pierce College,5187,4471,446,3,14,1818,1197,13320,13320,2500,2130,310,500,800,50,17.6,51
Notre Dame College,379,324,107,15,37,500,311,9990,9990,2650,2250,280,400,600,44,12.1,33
University of New Hampshire,9750,7640,2529,24,62,10358,1338,3550,11180,1648,2214,830,650,2450,89,17.5,75
Keene State College,3121,2446,822,5,19,3480,776,2590,7870,2727,1438,756,500,1150,73,16.1,61
Daniel Webster College,585,508,153,12,30,460,536,12292,12292,2370,2564,120,500,500,61,22.2,72
Drew University,2153,1580,321,56,84,1192,87,18432,18432,3224,2342,510,520,660,93,10.2,83
Georgian Court College,348,281,127,12,52,1095,785,9150,9150,1750,2200,130,500,800,56,12.2,76
Jersey City State College,2957,1423,691,10,30,3817,1394,2798,3946,2000,2800,646,400,1500,63,14.9,26
Monmouth College NJ,2707,1881,478,14,34,1893,847,12480,12480,2700,2590,490,530,1740,70,14.2,54
Montclair State University,5220,2128,865,19,53,6411,3186,2400,3648,3160,1674,600,700,950,82,21.5,58
New Jersey Institute of Technology,1879,1216,483,27,62,3311,1646,4188,8832,3764,1612,792,700,1850,92,13.5,72
Princeton University,13218,2042,1153,90,98,4540,146,19900,19900,2696,3214,400,675,1575,91,8.4,99
Rutgers State University at Newark,5785,2690,499,26,62,4005,1886,3640,7410,2780,1968,978,690,2009,90,17.4,58
Seton Hall University,4576,3565,1000,16,36,4384,1530,12000,12000,4358,2126,550,650,1000,81,14.4,64
Saint Peter's College,1606,1413,530,23,38,1921,1154,9408,9408,2820,2700,295,500,450,78,12.1,53
Rutgers State University at Camden,3366,1752,232,27,79,2585,1300,3641,7411,2780,1968,849,690,2009,90,18.6,57
Rutgers at New Brunswick,48094,26330,4520,36,79,21401,3712,3640,7410,2780,1986,1003,690,2009,90,19.5,77
Stockton College of New Jersey,4019,1579,710,23,65,4365,765,2288,3040,2775,1576,704,711,1125,78,19.5,64
College of Santa Fe,546,447,189,16,42,873,683,11138,11138,1978,2160,330,600,1200,40,14,80
College of the Southwest,77,61,27,7,38,352,147,3120,3120,1358,2024,125,400,500,24,14.3,20
Alfred University,1732,1425,472,37,75,1830,110,16548,16548,2808,2598,424,500,600,82,11.3,73
Canisius College,2853,2193,753,16,34,2978,434,10750,10750,2750,2590,326,400,1130,90,14.6,64
Cazenovia College,3847,3433,527,9,35,1010,12,9384,9384,2420,2420,395,600,500,22,14.3,118
